Is Dead;Accession Number;Catalogue Number;Accepted Name;TaxonomicName;Genus;Family;Provenance Code;Legacy Provenance Code;Country ISO;Last Seen On
ALIVE;2001-3518;K:LCD-2001-3518*2;Scadoxus multiflorus subsp. katharinae;Scadoxus multiflorus subsp. katharinae;Scadoxus;Amaryllidaceae;;N - Natural Source and Progeny;;14-02-2024
ALIVE;1998-676;K:LCD-1998-676*1;;Primula 'Kewensis';Primula;Primulaceae;;;;20-05-2024
ALIVE;1973-12297;K:LCD-1973-12297*1;Melicytus dentatus;Melicytus dentatus;Melicytus;Violaceae;;;;28-12-2024
ALIVE;1973-12085;K:LCD-1973-12085*2;Asplenium bulbiferum;Asplenium bulbiferum;Asplenium;Aspleniaceae;;;;27-03-2024
ALIVE;1974-3118;K:LCD-1974-3118*1;Taxus wallichiana;Taxus wallichiana;Taxus;Taxaceae;;N - Natural Source and Progeny;Philippines;20-01-2025
ALIVE;2000-4131;K:LCD-2000-4131*6;Banksia montana;Banksia montana;Banksia;Proteaceae;;N - Natural Source and Progeny;Australia;17-10-2023
ALIVE;2004-3176;K:LCD-2004-3176*2;Banksia spinulosa;Banksia spinulosa;Banksia;Proteaceae;;N - Natural Source and Progeny;Australia;17-10-2023
ALIVE;1982-274;K:LCD-1982-274*1;Pleroma urvilleanum;Tibouchina urvilleana;Tibouchina;Melastomataceae;;;Brazil;28-11-2024
ALIVE;2021-143;K:LCD-2021-143*3;Alsophila dealbata;Cyathea dealbata;Cyathea;Cyatheaceae;;;;04-07-2024
ALIVE;1969-17410;K:LCD-1969-17410*9;Rhododendron scopulorum;Rhododendron scopulorum;Rhododendron;Ericaceae;;;;17-10-2023
ALIVE;1964-28201;K:LCD-1964-28201*4;Lomandra longifolia;Lomandra longifolia;Lomandra;Asparagaceae;;;;17-10-2023
ALIVE;2001-2764;K:LCD-2001-2764*2;Sarracenia purpurea subsp. venosa;Sarracenia purpurea subsp. venosa;Sarracenia;Sarraceniaceae;;N - Natural Source and Progeny;United States;15-02-2024
ALIVE;1950-20203;K:LCD-1950-20203*3;Rhododendron × sesterianum;Rhododendron × sesterianum;Rhododendron;Ericaceae;;;;22-05-2024
