Catalogue Number;Full Name;Store Level1;Store Level2;Store Level3;Store Level4
K:LCD-1969-12344*2;Adenocalymma marginatum;Princess of Wales Conservatory;01;24;
K:LCD-2010-873*2;Colocasia esculenta 'Black Magic';Princess of Wales Conservatory;01;06;
K:LCD-1963-37002*1;Peperomia rubella;Princess of Wales Conservatory;01;27;
K:LCD-2001-2919*2;Drosera binata;Princess of Wales Conservatory;09;05;
K:LCD-1969-4110*3;Begonia thiemei;Princess of Wales Conservatory;01;03;
K:LCD-1976-432*1;Marantochloa purpurea;Princess of Wales Conservatory;01;28;
K:LCD-1980-1630*1;Lasia spinosa;Princess of Wales Conservatory;01;26;
K:LCD-1996-4366*3;Diplazium nigropaleaceum;Princess of Wales Conservatory;02;06;
K:LCD-1990-1920*2;Haworthia viscosa;Princess of Wales Conservatory;03;01;
K:LCD-1984-1736*3;Peristrophe chinensis;Princess of Wales Conservatory;01;09;
K:LCD-2001-4500*4;Nematanthus 'Tropicana';Princess of Wales Conservatory;04;HB;
K:LCD-1982-5108*1;Dracaena arborea;Princess of Wales Conservatory;01;06;
K:LCD-1977-915*3;Neoglaziovia variegata;Princess of Wales Conservatory;01;02;
K:LCD-1979-3567*3;Neoregelia concentrica;Princess of Wales Conservatory;01;14;
K:LCD-1994-1032*2;Nephrolepis radicans;Princess of Wales Conservatory;04;04;
K:LCD-2009-1958*3;Nelumbo 'Mrs Perry D Slocum';Princess of Wales Conservatory;;;
K:LCD-2001-3652*2;Spathiphyllum 'Piccolino';Princess of Wales Conservatory;01;03;
K:LCD-1973-12125*3;Doodia aspera;Princess of Wales Conservatory;05;07;
K:LCD-1994-1067*4;Diplazium esculentum;Princess of Wales Conservatory;04;11;
K:LCD-1998-4021*2;Selaginella martensii 'Watsoniana';Princess of Wales Conservatory;04;07;
K:LCD-1973-3513*2;Haworthia coarctata;Princess of Wales Conservatory;03;02;
K:LCD-2003-831*2;Phragmipedium Sedenii gx;Princess of Wales Conservatory;06;05;
K:LCD-1957-55702*4;Piper ornatum;Princess of Wales Conservatory;04;06;
K:LCD-1974-1388*4;Aeschynanthus albidus;Princess of Wales Conservatory;01;06;
K:LCD-1958-76218*3;Peperomia obtusifolia;Princess of Wales Conservatory;01;28;
K:LCD-1962-44053*1;Sedum × rubrotinctum;Princess of Wales Conservatory;03;21;
K:LCD-1962-44052*2;Graptopetalum paraguayense;Princess of Wales Conservatory;03;18;
K:LCD-1982-2006*6;Canarina canariensis;Princess of Wales Conservatory;03;13;
K:LCD-1998-2305*4;Phragmipedium Calurum gx;Princess of Wales Conservatory;06;02;
K:LCD-1982-4625*3;Nephthytis swainei;Princess of Wales Conservatory;01;03;
