"Accepted.Name","Is.Dead","Accession.Number","Catalogue.Number","TaxonomicName","Genus","Family","Provenance.Code","Legacy.Provenance.Code","Country.ISO","Last.Seen.On","target"
"Callaeum macropterum","ALIVE","1999-3165","K:LCD-1999-3165*1","Callaeum macropterum","Callaeum","Malpighiaceae","","","","17-11-2023","genus"
"Callianthe picta","ALIVE","1979-2656","K:LCD-1979-2656*3","Callianthe picta","Callianthe","Malvaceae",NA,"N - Natural Source and Progeny","Argentina","19-02-2024","genus"
"Callianthe picta","ALIVE","1979-2656","K:LCD-1979-2656*1","Callianthe picta","Callianthe","Malvaceae",NA,"N - Natural Source and Progeny","Argentina","09-01-2025","genus"
"Callianthe picta","ALIVE","1979-2656","K:LCD-1979-2656*2","Callianthe picta","Callianthe","Malvaceae",NA,"N - Natural Source and Progeny","Argentina","06-01-2025","genus"
"Callicoma serratifolia","ALIVE","2019-2525","K:LCD-2019-2525*1","Callicoma serratifolia","Callicoma","Cunoniaceae","","N - Natural Source and Progeny","Australia","16-12-2024","genus"
"Callostylis pulchella","ALIVE","2025-728","K:LCD-2025-728*1","Callostylis pulchella","Callostylis","Orchidaceae","G - Garden","","","07-06-2025","genus"
"Calochone redingii","ALIVE","1975-334","K:LCD-1975-334*1","Calochone redingii","Calochone","Rubiaceae","","","","22-09-2022","genus"
"Calophyllum inophyllum","ALIVE","1987-2740","K:LCD-1987-2740*1","Calophyllum inophyllum","Calophyllum","Calophyllaceae","","N - Natural Source and Progeny","Seychelles","19-12-2023","genus"
"Calpurnia aurea subsp. aurea","ALIVE","1991-1626","K:LCD-1991-1626*1","Calpurnia aurea subsp. aurea","Calpurnia","Fabaceae","","","","06-07-2022","genus"
"Calymmanthium substerile","ALIVE","1985-398","K:LCD-1985-398*1","Calymmanthium substerile","Calymmanthium","Cactaceae","","","","15-02-2024","genus"
"Canephora madagascariensis","ALIVE","2007-2176","K:LCD-2007-2176*1","Canephora madagascariensis","Canephora","Rubiaceae","","N - Natural Source and Progeny","Madagascar","13-01-2023","genus"
