"entity_ID","geo_entity","longitude","latitude","biome","mean_wc2.0_bio_30s_01","mean_wc2.0_bio_30s_12","species"
11425,"Southern Tablelands, Australia",149.059464,-35.72627,"Temperate Broadleaf & Mixed Forests",11.30218,862.96786,"Acacia paradoxa"
11426,"North Western Slopes, Australia",150.308546,-30.617345,"Temperate Broadleaf & Mixed Forests",16.80862,729.1133,"Acacia paradoxa"
11427,"Central Western Slopes, Australia",148.611328,-33.025855,"Temperate Broadleaf & Mixed Forests",16.25113,628.43663,"Acacia paradoxa"
11428,"South Western Slopes, Australia",147.31108,-35.257354,"Temperate Broadleaf & Mixed Forests",15.16626,645.35877,"Acacia paradoxa"
11429,"North Western Plains, Australia",147.415736,-30.318502,"Temperate Grasslands, Savannas & Shrublands",19.55784,450.54651,"Acacia paradoxa"
11430,"South Western Plains, Australia",145.360255,-33.837946,"Temperate Grasslands, Savannas & Shrublands",17.34454,385.91011,"Acacia paradoxa"
12161,"Sahul shelf",135.145395,-23.820829,"Deserts & Xeric Shrublands",21.96928,716.86063,"Acacia paradoxa"
12163,"Adelaide, Australia",140.462465,-35.49419,"Mediterranean Forests, Woodlands & Scrub",15.3449,468.63328,"Acacia paradoxa"
12167,"Central Desert, Australia",132.415508,-19.060326,"Tropical & Subtropical Grasslands, Savannas & Shrublands",26.15332,497.20568,"Acacia paradoxa"
12169,"Eastern Desert, Australia",140.941624,-28.216153,"Deserts & Xeric Shrublands",20.77307,305.40488,"Acacia paradoxa"
12170,"Eastern Queensland, Australia",150.092665,-24.136791,"Tropical & Subtropical Grasslands, Savannas & Shrublands",21.10517,844.10979,"Acacia paradoxa"
12171,"Eyre Peninsula, Australia",136.097199,-32.641152,"Deserts & Xeric Shrublands",17.56855,295.47165,"Acacia paradoxa"
12176,"Southeastern Australia",150.34665,-32.807138,"Temperate Broadleaf & Mixed Forests",14.8965,908.87367,"Acacia paradoxa"
12178,"Southwestern Australia",117.012649,-31.854698,"Mediterranean Forests, Woodlands & Scrub",17.49456,486.88343,"Acacia paradoxa"
12179,"Victoria, Australia",146.038567,-37.466676,"Temperate Broadleaf & Mixed Forests",12.96357,890.66433,"Acacia paradoxa"
587,"Tasmania",146.59427,-41.936208,"Temperate Broadleaf & Mixed Forests",10.44801,1321.66836,"Acacia pravissima"
10542,"Australia",134.49059,-25.73253,"Deserts & Xeric Shrublands",21.75157,479.63945,"Acacia pravissima"
10911,"Victoria",144.307857,-36.857466,"Temperate Broadleaf & Mixed Forests",13.99256,679.77478,"Acacia pravissima"
11425,"Southern Tablelands, Australia",149.059464,-35.72627,"Temperate Broadleaf & Mixed Forests",11.30218,862.96786,"Acacia pravissima"
11428,"South Western Slopes, Australia",147.31108,-35.257354,"Temperate Broadleaf & Mixed Forests",15.16626,645.35877,"Acacia pravissima"
12161,"Sahul shelf",135.145395,-23.820829,"Deserts & Xeric Shrublands",21.96928,716.86063,"Acacia pravissima"
12163,"Adelaide, Australia",140.462465,-35.49419,"Mediterranean Forests, Woodlands & Scrub",15.3449,468.63328,"Acacia pravissima"
12176,"Southeastern Australia",150.34665,-32.807138,"Temperate Broadleaf & Mixed Forests",14.8965,908.87367,"Acacia pravissima"
12178,"Southwestern Australia",117.012649,-31.854698,"Mediterranean Forests, Woodlands & Scrub",17.49456,486.88343,"Acacia pravissima"
12179,"Victoria, Australia",146.038567,-37.466676,"Temperate Broadleaf & Mixed Forests",12.96357,890.66433,"Acacia pravissima"
201,"Kangaroo Island",137.240283,-35.827998,"Mediterranean Forests, Woodlands & Scrub",15.23242,629.29759,"Acacia pycnantha"
587,"Tasmania",146.59427,-41.936208,"Temperate Broadleaf & Mixed Forests",10.44801,1321.66836,"Acacia pycnantha"
10064,"Grampians National Park, Australia",142.409763,-37.254378,"Temperate Broadleaf & Mixed Forests",12.41415,766.80453,"Acacia pycnantha"
10065,"Murray Sunset National Park, Australia",141.47938,-34.684515,"Mediterranean Forests, Woodlands & Scrub",16.83515,294.37569,"Acacia pycnantha"
10066,"Snowy River National Park, Australia",148.443238,-37.255373,"Temperate Broadleaf & Mixed Forests",12.17855,790.58203,"Acacia pycnantha"
